repo_name,categories,total_contributions,n_contributors_total,n_identified,core_n,peripheral_n,core_peripheral_ratio,core_top_fraction
BelaPlatform/Bela,sound/music,3376,41,32,9,32,0.28125,0.2
EnvelopSound/EnvelopForLive,sound/music,616,9,8,2,7,0.2857142857142857,0.2
KhronosGroup/GLSL,visual,536,54,45,11,43,0.2558139534883721,0.2
KhronosGroup/WebGL,visual,6750,228,154,46,182,0.25274725274725274,0.2
KhronosGroup/glslang,visual,5389,350,315,70,280,0.25,0.2
Makerfabs/Makerfabs-ESP32-UWB-DW3000,electronics,7,2,2,1,1,1.0,0.2
TU-Studio/IEMPluginSuite,sound/music,1489,18,8,4,14,0.2857142857142857,0.2
WebAudio/web-audio-api,sound/music,3357,83,65,17,66,0.25757575757575757,0.2
WebAudio/web-midi-api,sound/music,329,31,26,7,24,0.2916666666666667,0.2
arduino/Arduino,electronics,7377,305,248,61,244,0.25,0.2
arduino/ArduinoCore-API,electronics,358,37,37,8,29,0.27586206896551724,0.2
brandongmwong/elizabot-js,text/speech,4,2,1,1,1,1.0,0.2
btel/svg_utils,visual,199,27,23,6,21,0.2857142857142857,0.2
coqui-ai/TTS,text/speech,4668,166,144,34,132,0.25757575757575757,0.2
electro-smith/libDaisy,electronics,1301,50,45,10,40,0.25,0.2
espressif/arduino-esp32,electronics,4012,825,445,165,660,0.25,0.2
festvox/festival,text/speech,81,7,7,2,5,0.4,0.2
googlefonts/Inconsolata,text/speech,171,9,8,2,7,0.2857142857142857,0.2
hideakitai/ESP32SPISlave,electronics,83,3,3,1,2,0.5,0.2
image-rs/image,visual,3893,374,340,75,299,0.2508361204013378,0.2
jackaudio/jack2,sound/music,4082,123,95,25,98,0.25510204081632654,0.2
korken89/fugit,electronics,132,10,10,2,8,0.25,0.2
matplotlib/matplotlib,visual,53487,1872,420,375,1497,0.250501002004008,0.2
mossblaser/plottie,visual,29,1,1,1,0,inf,0.2
mozman/svgwrite,visual,394,24,19,5,19,0.2631578947368421,0.2
mrdoob/three.js,visual,46498,2461,361,493,1968,0.2505081300813008,0.2
openframeworks/openFrameworks,visual,18024,449,292,90,359,0.25069637883008355,0.2
otuva/handwriting-synthesis,text/speech,87,6,3,2,4,0.5,0.2
probe-rs/rtt-target,electronics,128,24,24,5,19,0.2631578947368421,0.2
processing/p5.js,visual,12345,845,355,169,676,0.25,0.2
processing/processing,visual,13215,140,110,28,112,0.25,0.2
pure-data/pure-data,sound/music,7556,119,85,24,95,0.25263157894736843,0.2
rtic-rs/rtic,electronics,1971,108,99,22,86,0.2558139534883721,0.2
rust-embedded/bare-metal,electronics,87,17,17,4,13,0.3076923076923077,0.2
rust-embedded/cortex-m,electronics,1626,117,110,24,93,0.25806451612903225,0.2
rust-embedded/critical-section,electronics,135,17,15,4,13,0.3076923076923077,0.2
rust-embedded/embedded-alloc,electronics,182,35,33,7,28,0.25,0.2
rust-embedded/embedded-hal,electronics,969,81,77,17,64,0.265625,0.2
rust-embedded/nb,electronics,65,12,12,3,9,0.3333333333333333,0.2
rust-embedded/volatile-register,electronics,28,8,7,2,6,0.3333333333333333,0.2
sass/sass,visual,958,28,26,6,22,0.2727272727272727,0.2
sjvasquez/handwriting-synthesis,text/speech,22,3,0,1,2,0.5,0.2
stm32-rs/stm32h7xx-hal,electronics,1360,56,52,12,44,0.2727272727272727,0.2
supercollider/sc3-plugins,sound/music,1408,73,53,15,58,0.25862068965517243,0.2
supercollider/supercollider,sound/music,26924,360,239,72,288,0.25,0.2
tarcieri/micromath,electronics,163,9,8,2,7,0.2857142857142857,0.2
